company,person,position,source,notes,project_id,trust_level
CERPD Co. Ltd.,Kim Jong-bum,Representative Director (대표이사),https://www.cerpd.com/,Korean name on page: 김종범,"VCS5722, VCS5798",direct_website
ClimatePartner Impact GmbH,Robin Stoffers,Managing Director,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Nirmal Beura,Head of Project Development,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Guillaume Leclerc,Earth Observation Team Lead,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Usman Tahir,Earth Observation Manager,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Nikolas Ludwig,Portfolio Management Team Lead,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Fabio Staccone,Finance & Controlling Manager,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Paulina de los Santos,Marketing/Communications Team Lead,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Moschda Djalalyar,Partnerships and Market Development Team Lead,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimatePartner Impact GmbH,Olga Dickmann,Impact Investing & Business Development Africa Team Lead,https://climatepartnerimpact.com/about-us,,VCS4611,direct_website
ClimeCo,William E. Flederbach Jr.,President & CEO,https://climeco.com/about-us/,"Co-founders also named on page: William E. Flederbach Jr., Yuda Saydun, and Markus Althausen (founded 2009). Only Flederbach has a current title listed.",VCS5545,direct_website
Ecosecurities Group Limited (EGL),Pablo Fernandez,Chief Executive Officer,https://ecosecurities.com/about/,"20+ years in climate policy, carbon markets, climate finance. Previously at Mercuria Energy Trading (2011-2017) managing CDM portfolios. MSc Energy and Environmental Planning, MBA Business School Lausanne",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Jose Tumkaya,Chief Financial Officer,https://ecosecurities.com/about/,Former COO at JP Morgan affiliates; Investment Director at Mercuria. Wharton economics + Columbia/LBS joint executive MBA,VCS5458,direct_website
Ecosecurities Group Limited (EGL),Hoda AbdelRaouf,Head of People & Operations,https://ecosecurities.com/about/,"B.S. Mechanical Engineering (American Univ. in Cairo), MBA Imperial College London",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Chris Lisboa,Head of Finance,https://ecosecurities.com/about/,"18+ years in operations financial management (mining, steel, beverage)",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Rachel Mountain,Head of Marketing,https://ecosecurities.com/about/,Previously Director of Global Marketing at Ohmium; Head of Marketing at Ethex and Energise Africa,VCS5458,direct_website
Ecosecurities Group Limited (EGL),Bernardo Mattar,Head of Structuring,https://ecosecurities.com/about/,"Nearly 20 years in finance; previously CFO at Nacala Logistics Mozambique, Corporate Finance Manager at Vale",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Selin Murat,"Regional Director, EMEA",https://ecosecurities.com/about/,13+ years energy industry (oil/gas + cleantech). LBS MBA,VCS5458,direct_website
Ecosecurities Group Limited (EGL),Peter Stephen,"Regional Director, APAC",https://ecosecurities.com/about/,"25+ years in nature-based solutions, agroforestry, tropical forest conservation. Senior roles at The Nature Conservancy and Greening Australia. **Indonesia-relevant** APAC lead on VCS5458",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Francisco Ocampo,"Regional Director, Latam",https://ecosecurities.com/about/,"20+ years in carbon markets across forestry, waste, energy efficiency, renewables",VCS5458,direct_website
Ecosecurities Group Limited (EGL),Muireann Mageras,Board Member (Hartree Partners),https://ecosecurities.com/about/,"Global Head of Sustainability Strategy at Hartree Partners (commodity trading house). Previous: World Economic Forum, South Pole, Deloitte",VCS5458,direct_website
Ecosecurities Group Limited (EGL),David Huh,Board Member (SK Innovation E&S),https://ecosecurities.com/about/,Vice President of LNG Business Strategy and Planning at SK Innovation. Korean LNG industry — same SK group orbit relevant to Korean energy investments in Indonesia,VCS5458,direct_website
Ecosecurities Group Limited (EGL),Pedro Moura Costa,Board Member (SIM & BVRio),https://ecosecurities.com/about/,Founder/CEO of Sustainable Investment Management; founded BVRio Environmental Exchange (Brazil carbon-credit exchange — analog to ICDX in Indonesia). Steering committee of VCMI and PREVENT Waste Alliance. Oxford honorary research associate,VCS5458,direct_website
EVI Green Markets Pte. Ltd.,Jatin Kapoor,Head of Transactions,Verra API doc: VCS5620 PDD dated 2025 (Carbon Agroforestry in Cimanuk/Progo/Brantas),First leadership identified for EVI Green Markets; PDD signing role,VCS5620,recent_pdd
Form International B.V.,(corporate-status note),Dutch forest-carbon developer DECLARED BANKRUPT (per Carbon Pulse). Trustee exploring continuation / sale of projects,https://carbon-pulse.com/506152/,"Not a person row. Form International headquartered in Hattem, Netherlands; develops/manages tropical forestry investments incl. Indonesia. Bankruptcy means Form International's VCS5371 technical-support role is in limbo. Related Dutch carbon investment fund Treevive also declared bankruptcy (qcintel.com)",VCS5371,direct_website
Gree Energy Limited,Nicolas Stirer,CEO and Founder,https://gree-energy.com/team/,Core Team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Benoît Meneau,Chief Financial Officer,https://gree-energy.com/team/,Core Team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Kritika Dhingra,Head of Operations,https://gree-energy.com/team/,Core Team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Aryo Bimo Oetomo,Technical Manager,https://gree-energy.com/team/,Core Team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Fahreza Hidayat,Head of Sustainability,https://gree-energy.com/team/,Core Team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Jacques de T'serclaes,Advisory Board member; primary role: CEO of ENGIE Factory,https://gree-energy.com/team/,Advisory Board,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Olivier Duguet,"Advisory Board member; primary role: Founder, Chairman and CEO of the Blue Circle",https://gree-energy.com/team/,Advisory Board,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Nicolas de Callatay,Advisory Board member; primary role: Executive Director at JP Morgan,https://gree-energy.com/team/,Advisory Board,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Eva Armila Djauhari,Advisor,https://gree-energy.com/team/,Advisory Board,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Nicolas Stirer,CEO and Founder,https://gree-energy.com/team,Hong Kong-headquartered Gree Energy (parent of PT Gree Services Indonesia and PT Gree Energy Hamparan),"VCS3297, VCS5323",direct_website
Gree Energy Limited,Benoît Meneau,Chief Financial Officer,https://gree-energy.com/team,,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Kritika Dhingra,Head of Operations,https://gree-energy.com/team,,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Aryo Bimo Oetomo,Technical Manager,https://gree-energy.com/team,Indonesia team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Fahreza Hidayat,Head of Sustainability,https://gree-energy.com/team,Indonesia team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Adhitya Kurniawan,Project Engineer,https://gree-energy.com/team,Indonesia team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Anne-Sophie Zirah,Carbon Manager,https://gree-energy.com/team,,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Iffan Thaher,Process Engineer,https://gree-energy.com/team,Indonesia team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Ignatius Prahastono Udaya,Business Developer,https://gree-energy.com/team,Indonesia team,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Yde Rijpma,Advisor,https://gree-energy.com/team,,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Jacques de T'serclaes,Advisory Board — CEO of ENGIE Factory (Mexico),https://gree-energy.com/team,ENGIE Factory connection — major French utility,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Olivier Duguet,Advisory Board — Founder/Chairman/CEO of The Blue Circle (Singapore),https://gree-energy.com/team,Singapore renewable-energy player,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Nicolas de Callatay,Advisory Board — Executive Director at JP Morgan (London),https://gree-energy.com/team,JP Morgan banker on advisory — international finance connection into VCS5323 / VCS3297,"VCS3297, VCS5323",direct_website
Gree Energy Limited,Eva Armila Djauhari,Advisory Board — Jakarta,https://gree-energy.com/team,Indonesia-side advisor,"VCS3297, VCS5323",direct_website
Japan Asia Group Ltd.,Ken Tammoto,Principal Researcher,Verra API doc: VCS2395 PDD dated 2020 (OKI REDD+ Project),Japanese partner researcher on OKI REDD+; signing role,VCS2395,older_pdd
Knowledge Intergration Services (Singapore) Pte. Ltd,K.R. Raghunath,"Founder & CEO, KIS Group",https://kisgroup.net/about-us/ + https://www.smart-tbk.com/en/kis-group-dan-pt-smart-tbk-resmi-lakukan-groundbreaking-pabrik-biocng-komersial-di-sumatra-utara/,20+ years in sustainable waste management; KIS Group operates in 14 countries with 90+ projects. Currently partnering with PT SMART Tbk (Sinar Mas Agro Resources & Technology) on a commercial BioCNG plant in North Sumatra — direct Sinar Mas / Widjaja-family collaboration,VCS5962,direct_website
Knowledge Intergration Services (Singapore) Pte. Ltd,Dr. Jyothi,Director,https://kisgroup.net/about-us/,,VCS5962,direct_website
Knowledge Intergration Services (Singapore) Pte. Ltd,Sunil K.M.,"Director, KIS Malaysia",https://kisgroup.net/about-us/,,VCS5962,direct_website
Knowledge Intergration Services (Singapore) Pte. Ltd,Subodh Mishra,Director,https://kisgroup.net/about-us/,,VCS5962,direct_website
Kokusai Kogyo,"Sandra Wu, Wen-Hsiu",Chairperson and CEO,https://theorg.com/org/kokusai-kogyo-holdings-co-ltd/org-chart/sandra-wu + https://www.kkc.co.jp/english/,"Kokusai Kogyo founded 1947 as Japan's first private aero-survey and mapping firm. Offices in Japan, Singapore, Vietnam, Indonesia. REDD+ and mangrove reforestation consulting on VCS2395",VCS2395,direct_website
Monsoon Carbon Pte. Ltd.,Angus McEwin,Managing Director,Verra API doc: VCS5292 PDD dated 2024 (Monsoon Methane Avoidance project),First leadership identified for Monsoon Carbon Pte Ltd; PDD signing officer,VCS5292,recent_pdd
Monsoon Carbon Pte. Ltd.,Angus McEwin,Founder and Managing Director,http://www.monsooncarbon.com/people/ + https://www.linkedin.com/in/angus-mcewin-a14b031/ + https://www.eco-business.com/news/biogas-plant-using-palm-oil-wastewater-is-behind-bcxs-first-malaysian-tech-based-carbon-credits/ + Verra API doc: VCS5292 PDD dated 2024,"Founded Monsoon Carbon in Singapore in 2011. Honours Degree Natural Resource Economics, MSc Environmental Science. 20+ years env/economic analysis; 15 years in Southeast Asia (Australia, Vietnam, Indonesia, Singapore). Active in renewable energy + biogas methane projects. (Replaces / strengthens the earlier PDD-only entry with multi-source confirmation per Bart's methodology)",VCS5292,linkedin
Perumda Air Minum Tirta Rangga Subang,Lukman Nurhakim,Direktur Utama (President Director) — 2023-2028 period,https://tirtarangga.com/news.php?slug=selamat-dan-sukses-atas-dilantiknya-direktur-utama-perumda-air-minum-tirta-rangga-kabupaten-subang + https://www.facebook.com/tintahijaucom/videos/direktur-utama-perumda-tirta-rangga-subang-lukman-nulhakim-menjelaskan-secara-te/880013854368136/,"Communications-degree holder (S.I.Kom., M.I.Kom). Heads the Subang Regency water utility (BUMD / regional state-owned enterprise) with 273 employees and ~49,847 customers as of Nov 2024",VCS4103,news_article
PT Agrinergy Indonesia,Made Hariyantha,Managing Director (as of 2018),Verra API doc: VCS1778 monitoring report dated 2018,From 2018 monitoring report; person may have moved on,VCS1778,older_pdd
PT Charged Tech Indonesia,Stephanus Widi,Chief Commercial Officer,https://en.prnasia.com/releases/apac/declout-ventures-leads-us-4-5-million-investment-in-e-mobility-technology-scale-up-charged-indonesia-373816.shtml,Verified via PR Newswire press release; Charged Indonesia operates as PT Industri Charged Mobilitas/Charged Tech Indonesia,VCS5930,direct_website
PT Charged Tech Indonesia,Joel CY Chang,Group CEO and Co-Founder (parent Charged Asia),"Multiple secondary sources (Crunchbase, Dealroom, Vmoto press release)","Cited as Group CEO of parent Charged Asia, which owns the Indonesian entity; not directly verified on charged.co.id (403 forbidden)",VCS5930,other
PT Charged Tech Indonesia,Ian Paratama Ahadi,Chief of Staff,Verra API doc: VCS5930 PDD dated 2026 (Charged EV Project in Indonesia),Indonesia-specific executive at Charged Tech (distinct from Joel CY Chang Group CEO and Stephanus Widi CCO listed via other sources),VCS5930,recent_pdd
PT Dewa Agricoco Indonesia,Steven Lim,Project Proponent contact (no specific title given in PDD),Verra API doc: VCS4611 PDD dated 2023 (Halmahera Zero-Waste Project),PDD listed his name with project description in title field — extraction artifact; specific role unclear from PDD,VCS4611,older_pdd
PT Dewa Agricoco Indonesia,Jerry Hermawan Lo,Owner / Founder (JHL Group),https://www.jhlgroup.co.id/dn/founder-dewa-agricoco-indonesia-akan-berikan-bea-siswa-s2-untuk-mahasiswa-stpk-banau-hal-bar/ + https://infopublik.id/kategori/nusantara/797750/founder-dewa-agricoco-indonesia-akan-berikan-beasiswa-s2-untuk-mahasiswa-stpk-banau,"Indonesian businessman, owner of JHL Group (hotels, F&B, real estate). Dewa Agricoco is one of his ventures — Halmahera Barat coconut processing factory. Established May 2020; commenced operations Nov 2023",VCS4611,direct_website
PT Dewa Agricoco Indonesia,Arthur Pelupessy,Chief Executive Officer,https://www.jhlgroup.co.id/dn/founder-dewa-agricoco-indonesia-akan-berikan-bea-siswa-s2-untuk-mahasiswa-stpk-banau/,CEO of PT Dewa Agricoco Indonesia,VCS4611,direct_website
PT Dewa Agricoco Indonesia,Steven Lim,Chief Financial Officer,https://www.jhlgroup.co.id/dn/founder-dewa-agricoco-indonesia-akan-berikan-bea-siswa-s2-untuk-mahasiswa-stpk-banau/ + Verra API doc: VCS4611 PDD dated 2023,Confirmed CFO via JHL Group news + PDD listing as project proponent contact,VCS4611,older_pdd
PT Global Alam Lestari,Bushh Pangestu,Managing Director,https://id.linkedin.com/in/bushhpangestu + https://id.linkedin.com/in/bushh-pangestu-56806678,CROSS-PROJECT into Bart's set: same person as PT Menggala Rambu Utama Project Lead (VCS5371) and Neusa Global Pte Ltd Director (VCS5631). Adds to the earlier VCS1899 entry (Riza Suarga as President Director) — Bushh Pangestu likely runs day-to-day MD operations while Riza Suarga is the public face,"VCS1899, VCS5371, VCS5631",linkedin
PT Gree Energy Hamparan,Hairol Azizi Tajudin,Director (as of 2024),Verra API doc: VCS3297 monitoring report dated 2024 (Hamparan biogas project),Director of the Indonesian operating entity (separate from Gree Energy Limited parent founders/CEO),VCS3297,recent_pdd
PT Hamparan Bumi Mas Abadi,(corporate-structure note),"Part of Kapal Api Group (Indonesian coffee + tapioca + retail conglomerate). Tapioca starch factory in Terbanggi Ilir village, Lampung; biogas-to-energy plant supplies VCS3297",https://gree-energy.com/hamparan-project-achieved-commercial-operation-date/ + https://thebizin.com/finance/the-history-of-kopi-kapal-api-a-legendary-coffee-from-indonesia/,Not a person row. Carbon project rolls up to the Soedomo Mergonoto family / Kapal Api conglomerate,VCS3297,direct_website
PT Hamparan Bumi Mas Abadi,Soedomo Mergonoto,"Founder & CEO, Kapal Api Group (parent)",https://grokipedia.com/page/Soedomo_Mergonoto + https://voi.id/en/economy/521768 + https://www.scmp.com/presented/business/companies/topics/indonesia-country-report-2016/article/1980009/kapal-api-expands,"Born Go Tek Hwie on 3 June 1950 in Surabaya. Indonesian-Chinese businessman. Family business founded by his father Go Soe Loet in 1927 as ""Hap Ho Tjan"" (Hokkien for ""Kapal Api""). Now PT Kapal Api Global + PT Santos Jaya Abadi (with co-founders Indra Boedijono and Ahmad Rivai, 1979). 5,000+ employees, exports since 1985 (HK, Saudi, Taiwan first)",VCS3297,news_article
PT Hatfield Indonesia,Jim Webb,"President Director, PT Hatfield Indonesia",https://hatfieldgroup.com/about/management-team/,Country head in Jakarta,VCS5371,direct_website
PT Hatfield Indonesia,Bambang Tri Sasongko Adi,"Vice-President, PT Hatfield Indonesia",https://hatfieldgroup.com/about/management-team/,,VCS5371,direct_website
PT Hatfield Indonesia,Nizar Zulkarnaen,"Leader, Forestry and Nature-based Solutions, PT Hatfield Indonesia",https://hatfieldgroup.com/about/management-team/,NBS lead — directly relevant to VCS5371 Kubu Peatland Project,VCS5371,direct_website
PT Intan Sejati Andalan,(corporate-structure note),"Subsidiary of PT Mahkota Group Tbk (MGRO) — palm oil mill in Bathin Sobanga Village, Riau. NOT part of Asian Agri / RGE",https://www.mahkotagroup.com/en/news/pt-intan-sejati-andalan-cares-for-social-in-sakai-village-during-covid-19,Not a person row. PT Mahkota Group is publicly listed on IDX (ticker MGRO); see PT Mahkota Group row for full board,VCS5292,direct_website
PT KALTIM HUTAMA,Muhammad Jasin,Legal Division Director,Verra API doc: VCS5798 PDD dated 2025 (KALTIM HUTAMA IFM Project),"PDD text glued name as ""MuhammadJasin"" and title as ""LegalDivisionDirector"" — extraction artifact, cleaned in this entry. Subsidiary of Sinar Wijaya Group",VCS5798,recent_pdd
PT KIS Biofuels Indonesia,Suresh A.C.,Country Head Indonesia (also GM Head - South East Asia),https://kisgroup.net/core-team/,"Indonesia-specific; full title on page: ""GM Head - South East Asia and Country Head Indonesia""","VCS4705, VCS5962",direct_website
PT KIS Biofuels Indonesia,Yasmine Surachman,Head of Legal,https://www.esdm.go.id/id/media-center/arsip-berita/pabrik-biocng-komersial-pertama-di-indonesia-diresmikan,Indonesian ESDM Ministry coverage of the first commercial BioCNG plant inauguration,"VCS4705, VCS5962",direct_website
PT Pasadena Biofuel Mandiri,Edmond Widjaja,Direktur Utama (President Director),"Indonesian press coverage of PT Pasadena Biofuel Mandiri PLTBg Ujung Batu inauguration (kontan.co.id, antaranews.com, jpnn.com)",Verified through multiple Indonesian news sources covering the Riau biogas plant inauguration; part of Biodena Energy Group,VCS5323,other
PT Pasadena Biofuel Mandiri,Anggit Saputra Dwipramana,Director,Indonesian press coverage 2024,Indonesian-language search; secondary source confirmation only — verify before citing,VCS5323,other
PT Pasadena Biofuel Mandiri,Yohanes Tampubolon,Director,Indonesian press coverage 2024,Indonesian-language search; secondary source confirmation only — verify before citing,VCS5323,other
PT Pertamina Geothermal Energy,Ahmad Yani,President Director,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Edwil Suzandi,Director of Exploration & Development,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Andi Joko Nugroho,Director of Operation,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Fransetya Hutabarat,Director of Finance,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Gigih Udi Atmo,President Commissioner,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,John Anis,Commissioner,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Abdulla Zayed,Commissioner,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Abdul Musawir Yahya,Independent Commissioner,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Mohammad Firmansyah,Independent Commissioner,https://www.pge.pertamina.com/en/management,,"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",direct_website
PT Pertamina Geothermal Energy,Ali Mundakir,Chief Executive Officer (as of 2018; predecessor of Ahmad Yani),Verra API doc: VCS1778 monitoring report dated 2018 (Lahendong),Historical 2018; current PGE President Director is Ahmad Yani (separate row from official PGE website),"GS2297, GS2298, GS2299, GS2418, GS2419, VCS1778",older_pdd
PT Rohul Sawit Industri,Bagus Sulaiman Wahyuningrat,Director (as of 2024),Verra API doc: VCS5323 PDD dated 2024 (Biogas Project PT Rohul Sawit Industri),Subsidiary of Bumitama Gunajaya Agro (BGA) Group; PDD signing director,VCS5323,recent_pdd
PT United Kingdom Indonesia Plantations,Jonathan Law Ngee Song,"Non-Executive Chairman, AEP Plantations Plc (parent)",https://aepplantations.com/about-aep/leadership/,Legal background; partner at Messrs Seow & Megat specialising in M&A and corporate practice,VCS4705,direct_website
PT United Kingdom Indonesia Plantations,Marcus Chan Jau Chwen,"Executive Director, AEP Plantations Plc (parent)",https://aepplantations.com/about-aep/leadership/,Oversees business transformation and ESG initiatives. Univ. of Melbourne + CEIBS. Only listed executive director,VCS4705,direct_website
PT United Kingdom Indonesia Plantations,Farah Suhanah Tun Ahmad Sarji,"Senior Independent Non-Executive Director, AEP Plantations Plc",https://aepplantations.com/about-aep/leadership/,26+ years legal/commercial experience,VCS4705,direct_website
PT United Kingdom Indonesia Plantations,Michael Henry Stainer,"Independent Non-Executive Director, AEP Plantations Plc",https://aepplantations.com/about-aep/leadership/,Qualified accountant; 30+ years in private and listed companies,VCS4705,direct_website
PT United Kingdom Indonesia Plantations,Onn Kien Hoe,"Independent Non-Executive Director, AEP Plantations Plc",https://aepplantations.com/about-aep/leadership/,Head of Corporate Advisory Division at Crowe Malaysia PLT,VCS4705,direct_website
PT. Berkat Cipta Abadi (PT. BCA),(corporate-structure note),"Part of TSE Group (Tunas Sawa Erma). FORMERLY part of Korindo Group — separated April 1, 2021 along with PT Tunas Sawa Erma and PT Dongin Prabhawa; PT Gelora Mandiri Membangun and PT Papua Agro Lestari separated Oct 1, 2022",https://korindonews.com/separation-of-tunas-sawa-erma-group-from-korindo-group/ + https://tsegroup.co.id/about-us/our-profile/,"Not a person row. Korindo Group (controlled by South Korean Seung family) was the historical owner and is subject to extensive deforestation-controversy reporting (Mongabay, Mighty Earth, Greenpeace, Chain Reaction Research) regarding Papua operations. Per Mongabay 2020 investigation, Korindo set up 62 shell companies in BVI/HK/Panama/Seychelles/Singapore for its Indonesian assets and paid $22m to an unnamed ""expert"" in Papua. Project VCS4792 historically rolls up to Korindo even though TSE Group is now formally independent",VCS4792,news_article
PT. Berkat Cipta Abadi (PT. BCA),Luwy Leunufna,"Director, TSE Group (post-separation parent of PT BCA)",https://sawitindonesia.com/direktur-tunas-sawa-erma-tse-group-luwy-leunufna/,"Director of TSE Group (Tunas Sawa Erma) since the separation from Korindo. TSE Group employs ~8,400 people, 2,400 of whom are indigenous Papuans (Orang Asli Papua / OAP)",VCS4792,direct_website
PT. Gree Services Indonesia,(see Gree Energy Limited parent),"PT. Gree Services Indonesia is the Indonesian subsidiary of Gree Energy Limited — see parent for verified leadership; Indonesia-side: Aryo Bimo Oetomo, Fahreza Hidayat, Adhitya Kurniawan, Iffan Thaher, Ignatius Prahastono Udaya",https://gree-energy.com/team,Alias row for the Jakarta-based subsidiary; Indonesia team members are also at the parent,VCS5323,direct_website
PT. Menggala Rambu Utama,Bushh Pangestu,Director (as of 2024),Verra API doc: VCS5371 monitoring report dated 2024 (Kubu Peatland Project),POLITICALLY SIGNIFICANT: Bush Pangestu (Pangestu family / Barito Pacific Group connection) confirmed as Director of PT Menggala Rambu Utama. Same person witnessed the PT Rimbun Seruyan Listing Representation (24 June 2025). Pangestu family also on Star Energy Geothermal board (verified separately),VCS5371,recent_pdd
